university,year,state,rank,IPEDS,policy_typology,token_count,restrictive_count,innovation_count,admin_count,faculty_count,restrictive_density,innovation_density,admin_density,faculty_density,max_density,second_density,density_gap
Rochester Institute of Technology,2025,NY,91.0,195003.0,Innovation-Forward,733,4,6,0,0,0.005457025920873124,0.008185538881309686,0.0,0.0,0.008185538881309686,0.005457025920873124,0.0027285129604365617
Rochester Institute of Technology,2026,NY,88.0,195003.0,Innovation-Forward,2688,15,18,5,0,0.005580357142857143,0.006696428571428571,0.0018601190476190475,0.0,0.006696428571428571,0.005580357142857143,0.001116071428571428
Southern Methodist University,2026,TX,88.0,228246.0,Innovation-Forward,898,2,5,1,0,0.0022271714922048997,0.005567928730512249,0.0011135857461024498,0.0,0.005567928730512249,0.0022271714922048997,0.0033407572383073497
University of South Florida,2026,FL,88.0,137351.0,Restrictive / Compliance-Driven,828,8,3,2,0,0.00966183574879227,0.0036231884057971015,0.0024154589371980675,0.0,0.00966183574879227,0.0036231884057971015,0.006038647342995168
Fordham University,2026,NY,97.0,191241.0,Innovation-Forward,718,4,14,0,0,0.005571030640668524,0.019498607242339833,0.0,0.0,0.019498607242339833,0.005571030640668524,0.01392757660167131
Florida International University,2025,FL,98.0,133951.0,Restrictive / Compliance-Driven,614,4,4,1,0,0.006514657980456026,0.006514657980456026,0.0016286644951140066,0.0,0.006514657980456026,0.006514657980456026,0.0
Rutgers University Camden,2026,NJ,97.0,186371.0,Restrictive / Compliance-Driven,378,5,2,1,0,0.013227513227513227,0.005291005291005291,0.0026455026455026454,0.0,0.013227513227513227,0.005291005291005291,0.007936507936507936
Texas Christian University,2026,TX,97.0,228875.0,Innovation-Forward,367,1,2,1,0,0.0027247956403269754,0.005449591280653951,0.0027247956403269754,0.0,0.005449591280653951,0.0027247956403269754,0.0027247956403269754
Gonzaga University,2026,WA,102.0,235316.0,Innovation-Forward,623,1,5,3,0,0.0016051364365971107,0.008025682182985553,0.004815409309791332,0.0,0.008025682182985553,0.004815409309791332,0.003210272873194221
Temple University,2024,PA,89.0,216339.0,Innovation-Forward,793,1,5,2,0,0.0012610340479192938,0.006305170239596469,0.0025220680958385876,0.0,0.006305170239596469,0.0025220680958385876,0.0037831021437578815
University of Iowa,2026,IA,102.0,153658.0,Restrictive / Compliance-Driven,3123,6,6,2,0,0.0019212295869356388,0.0019212295869356388,0.0006404098623118795,0.0,0.0019212295869356388,0.0019212295869356388,0.0
Auburn University,2026,AL,102.0,100858.0,Innovation-Forward,1095,9,10,3,0,0.00821917808219178,0.0091324200913242,0.0027397260273972603,0.0,0.0091324200913242,0.00821917808219178,0.0009132420091324204
Saint Louis University,2026,MZ,102.0,179159.0,Innovation-Forward,2159,19,20,4,0,0.008800370541917554,0.009263547938860583,0.0018527095877721167,0.0,0.009263547938860583,0.008800370541917554,0.0004631773969430292
University of Missouri Columbia,2023,MZ,121.0,178396.0,Restrictive / Compliance-Driven,752,12,1,0,0,0.015957446808510637,0.0013297872340425532,0.0,0.0,0.015957446808510637,0.0013297872340425532,0.014627659574468084
University of Missouri Columbia,2026,MZ,102.0,178396.0,Restrictive / Compliance-Driven,588,4,1,3,0,0.006802721088435374,0.0017006802721088435,0.00510204081632653,0.0,0.006802721088435374,0.00510204081632653,0.0017006802721088437
University of Tennessee Knoxville,2024,TN,105.0,221759.0,Restrictive / Compliance-Driven,655,1,1,0,0,0.0015267175572519084,0.0015267175572519084,0.0,0.0,0.0015267175572519084,0.0015267175572519084,0.0
Brigham Young University,2023,UT,89.0,230038.0,Restrictive / Compliance-Driven,357,8,0,0,0,0.022408963585434174,0.0,0.0,0.0,0.022408963585434174,0.0,0.022408963585434174
Brigham Young University,2026,UT,110.0,230038.0,Administrative Risk-Management,193,0,0,2,0,0.0,0.0,0.010362694300518135,0.0,0.010362694300518135,0.0,0.010362694300518135
University of Oregon,2025,OR,109.0,209551.0,Restrictive / Compliance-Driven,181,5,2,0,0,0.027624309392265192,0.011049723756906077,0.0,0.0,0.027624309392265192,0.011049723756906077,0.016574585635359115
University of San Diego,2024,CA,98.0,122436.0,Restrictive / Compliance-Driven,825,2,0,0,0,0.0024242424242424242,0.0,0.0,0.0,0.0024242424242424242,0.0,0.0024242424242424242
University of Texas Dallas,2025,TX,109.0,228787.0,Restrictive / Compliance-Driven,671,12,4,1,0,0.01788375558867362,0.005961251862891207,0.0014903129657228018,0.0,0.01788375558867362,0.005961251862891207,0.011922503725782414
Chapman University,2026,CA,110.0,111948.0,Restrictive / Compliance-Driven,759,3,2,2,0,0.003952569169960474,0.002635046113306983,0.002635046113306983,0.0,0.003952569169960474,0.002635046113306983,0.001317523056653491
University of Oklahoma,2025,OK,132.0,207500.0,Innovation-Forward,2798,9,28,2,0,0.0032165832737669764,0.010007147962830594,0.0007147962830593281,0.0,0.010007147962830594,0.0032165832737669764,0.006790564689063618
Illinois Institute of Technology,2025,IL,105.0,145725.0,Innovation-Forward,880,2,13,0,0,0.0022727272727272726,0.014772727272727272,0.0,0.0,0.014772727272727272,0.0022727272727272726,0.0125
George Mason University,2026,VA,117.0,232186.0,Restrictive / Compliance-Driven,1199,14,10,5,0,0.011676396997497914,0.008340283569641367,0.004170141784820684,0.0,0.011676396997497914,0.008340283569641367,0.003336113427856547
San Diego State University,2025,CA,109.0,122409.0,Innovation-Forward,2103,6,7,3,0,0.0028530670470756064,0.0033285782215882074,0.0014265335235378032,0.0,0.0033285782215882074,0.0028530670470756064,0.00047551117451260106
University of New Hampshire,2026,NH,117.0,183044.0,Administrative Risk-Management,835,2,3,6,0,0.0023952095808383233,0.003592814371257485,0.00718562874251497,0.0,0.00718562874251497,0.003592814371257485,0.003592814371257485
